lag_days,model,best_cv_f1,best_params
5,svc,0.6958781079593583,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}"
4,svc,0.6935432576203528,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}"
0,svc,0.6920763913050252,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}"
3,svc,0.6919623999617466,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}"
2,svc,0.6900971450285931,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}"
1,svc,0.6872757662559608,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}"
3,logreg,0.686741459173091,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
5,logreg,0.6849345018320395,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
4,logreg,0.6844750992809486,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
0,logreg,0.6805652457268223,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'clf__solver': 'saga'}"
1,logreg,0.6778713784059526,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
5,gb,0.6769602200660916,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__min_samples_split': 10, 'clf__n_estimators': 100}"
2,logreg,0.6767195180825663,"{'clf__C': 1, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
5,rf,0.6740727468972606,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}"
0,gb,0.6735989869534513,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 50}"
1,gb,0.6731277580953304,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__min_samples_split': 5, 'clf__n_estimators': 50}"
3,rf,0.6729985702258385,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}"
0,rf,0.6721477211292102,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}"
3,gb,0.6719275674058991,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__min_samples_split': 10, 'clf__n_estimators': 100}"
4,gb,0.6718934042265794,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__min_samples_split': 5, 'clf__n_estimators': 50}"
2,gb,0.6712337382819912,"{'clf__learning_rate': 0.2, 'clf__max_depth': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 50}"
4,rf,0.6707985254404176,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}"
1,rf,0.6696157614927276,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}"
2,rf,0.6689692762090247,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 10, 'clf__n_estimators': 50}"
